ID,Player Name,Team,Position,Status,Age
*041qr*,Aaron Civale,TB,SP,Bird,28
*02z0s*,Aaron Judge,NYY,OF,owenhern,32
*02i3o*,Aaron Nola,PHI,SP,Kirby,31
*05uv5*,Abimelec Ortiz,TEX,1B,BEIM,22
*041se*,Abraham Toro,OAK,"2B,3B",Tino,27
*04ysv*,Adael Amador,COL,SS,BEIM,21
*060gg*,Adam Mazur,SD,SP,Bird,23
*04q2n*,Adley Rutschman,BAL,C,BARTO,26
*04aq4*,Adolis Garcia,TEX,OF,PAP,31
*04z6m*,Agustin Ramirez,NYY,C,LIAM,22
*05u36*,Aidan Miller,PHI,3B,JGC,19
*05uy5*,AJ Smith-Shawver,ATL,SP,owenhern,21
*02xid*,Albert Suarez,BAL,"SP,RP",Bird,34
*04mn5*,Alec Bohm,PHI,"1B,3B",owenhern,27
*05jr0*,Alec Burleson,STL,OF,Kirby,25
*0512c*,Alec Marsh,KC,"SP,RP",BEIM,26
*04yfw*,Alek Manoah,TOR,SP,owenhern,26
*02w7p*,Alex Bregman,HOU,3B,BEIM,30
*01seh*,Alex Cobb,SF,SP,JGC,36
*03d7g*,Alex Verdugo,NYY,OF,BARTO,28
*03qqf*,Alexis Diaz,CIN,RP,LIAM,27
*02yh5*,Amed Rosario,TB,"2B,SS,OF",Tino,28
*03pzn*,Andres Gimenez,CLE,2B,DT,25
*0403o*,Andres Munoz,SEA,RP,Tino,25
*05jq2*,Andrew Abbott,CIN,SP,PAP,25
*066lz*,Andrew Cossetti,MIN,C,BEIM,24
*01c1g*,Andrew McCutchen,PIT,UT,Geezers,37
*05r3i*,Andrew Painter,PHI,SP,BARTO,21
*04si2*,Andrew Vaughn,CHW,1B,owenhern,26
*04ru5*,Andy Pages,LAD,OF,DT,23
*01sea*,Anthony Rizzo,NYY,1B,BEIM,34
*02w16*,Anthony Santander,BAL,OF,BEIM,29
*04y9p*,Anthony Volpe,NYY,SS,BEIM,23
*03pom*,Austin Riley,ATL,3B,DT,27
*05ahg*,Austin Wells,NYY,C,Kirby,24
*0425t*,Bailey Ober,MIN,SP,DT,28
*04o2w*,Ben Brown,CHC,"SP,RP",JGC,24
*05yo5*,Ben Rice,NYY,C,Kirby,25
*05u2q*,Blade Tidwell,NYM,SP,BARTO,22
*02bqr*,Blake Snell,SF,SP,JGC,31
*041qb*,Bo Bichette,TOR,SS,BEIM,26
*04mrn*,Bo Naylor,CLE,C,DT,24
*05gwz*,Bobby Miller,LAD,SP,Tino,25
*04lgp*,Bobby Witt Jr.,KC,SS,Tino,23
*059bx*,Brady House,WSH,SS,JGC,21
*03pov*,Brady Singer,KC,SP,BARTO,27
*041q8*,Brandon Marsh,PHI,OF,Tino,26
*02bq2*,Brandon Nimmo,NYM,OF,Bird,31
*05lg3*,Brandon Pfaadt,ARI,SP,Kirby,25
*0515o*,Brandon Sproat,NYM,"SP,RP",Bird,23
*02bu3*,Brandon Woodruff,MIL,SP,reed,31
*04t40*,Brayan Bello,BOS,SP,LIAM,25
*04pmv*,Brennen Davis,CHC,OF,reed,24
*04e2u*,Brent Rooker,OAK,OF,JGC,29
*0513l*,Brenton Doyle,COL,OF,JGC,26
*04yib*,Brett Baty,NYM,3B,BARTO,24
*04b00*,Brice Turang,MIL,"2B,SS",PAP,24
*05ubi*,Brock Wilken,MIL,3B,Geezers,21
*04yig*,Brooks Lee,MIN,SS,JGC,23
*03zbj*,Brusdar Graterol,LAD,RP,BARTO,25
*03bud*,Bryan De La Cruz,MIA,OF,BEIM,27
*03e5m*,Bryan Reynolds,PIT,OF,LIAM,29
*05y62*,Bryan Woo,SEA,SP,DT,24
*05u96*,Bryce Eldridge,SF,"OF,SP",JGC,19
*01fh9*,Bryce Harper,PHI,1B,DT,31
*05vy6*,Bryce Miller,SEA,SP,LIAM,25
*04p10*,Bryson Stott,PHI,"2B,SS",PAP,26
*05rik*,Bubba Chandler,PIT,"SP,RP",reed,21
*02i2k*,Byron Buxton,MIN,OF,PAP,30
*05gef*,Cade Cavalli,WSH,SP,Bird,25
*05gww*,Cade Horton,CHC,SP,owenhern,22
*05xop*,Cade Povich,BAL,SP,Bird,24
*04eor*,Cade Smith,CLE,RP,owenhern,25
*04my4*,Cal Raleigh,SEA,C,LIAM,27
*05u1y*,Cam Collier,CIN,3B,reed,19
*04k0w*,Camilo Doval,SF,RP,reed,26
*02i2q*,Carlos Correa,MIN,SS,reed,29
*03mnq*,Carlos Estevez,LAA,RP,BEIM,31
*02c2r*,Carlos Rodon,NYY,SP,owenhern,31
*05y7v*,Carson Whisenhunt,SF,SP,Tino,23
*05t9n*,Carson Williams,TB,SS,Geezers,20
*04mlf*,Casey Mize,DET,SP,BARTO,27
*05gsi*,Ceddanne Rafaela,BOS,"SS,OF",BARTO,23
*03qr0*,Cedric Mullins,BAL,OF,reed,29
*0374o*,Chad Green,TOR,RP,owenhern,33
*005jn*,Charlie Morton,ATL,SP,Geezers,40
*04esz*,Chas McCormick,HOU,OF,BARTO,29
*05uei*,Chase DeLauter,CLE,OF,Bird,22
*05yj0*,Chase Dollander,COL,SP,reed,22
*05xsm*,Chase Silseth,LAA,"SP,RP",DT,24
*05uws*,Chayce McDermott,BAL,SP,LIAM,25
*02c2h*,Chris Bassitt,TOR,SP,Geezers,35
*01uca*,Chris Sale,ATL,SP,BEIM,35
*05xor*,Christian Encarnacion-Strand,CIN,1B,Kirby,24
*05xpq*,Christian Scott,NYM,"SP,RP",Tino,24
*02mw3*,Christian Walker,ARI,1B,JGC,33
*025dn*,Christian Yelich,MIL,OF,reed,32
*04pbp*,Christopher Morel,CHC,"3B,OF",Tino,24
*04qk8*,CJ Abrams,WSH,SS,LIAM,23
*04ee7*,Clarke Schmidt,NYY,SP,Tino,28
*02bx4*,Clay Holmes,NYY,RP,Geezers,31
*005ih*,Clayton Kershaw,LAD,SP,DT,36
*05js5*,Coby Mayo,BAL,3B,PAP,22
*03120*,Cody Bellinger,CHC,"1B,OF",reed,28
*0514o*,Cody Bradford,TEX,"SP,RP",BARTO,26
*0630e*,Colby Thomas,OAK,OF,LIAM,23
*041ma*,Cole Ragans,KC,"SP,RP",DT,26
*05y7x*,Cole Young,SEA,SS,Geezers,20
*05rch*,Colson Montgomery,CHW,"3B,SS",owenhern,22
*060ub*,Colt Emerson,SEA,SS,Bird,18
*05jrh*,Colt Keith,DET,"2B,3B",Bird,22
*05ras*,Colton Cowser,BAL,OF,owenhern,24
*05tce*,Connor Norby,BAL,2B,Tino,23
*05jpe*,Connor Phillips,CIN,SP,owenhern,23
*04efi*,Connor Wong,BOS,C,PAP,28
*04px6*,Cooper Criswell,BOS,"SP,RP",Geezers,27
*041rd*,Corbin Burnes,BAL,SP,JGC,29
*04y4e*,Corbin Carroll,ARI,OF,JGC,23
*02mw6*,Corey Seager,TEX,SS,DT,30
*01scl*,Craig Kimbrel,BAL,RP,BEIM,36
*045kb*,Cristian Javier,HOU,SP,owenhern,27
*052c8*,Cristopher Sanchez,PHI,SP,LIAM,27
*05xtz*,Dalton Rushing,LAD,C,DT,23
*01fd0*,Daniel Hudson,LAD,RP,Tino,37
*02hxd*,Danny Coulombe,BAL,RP,BARTO,34
*031el*,Danny Jansen,TOR,C,Kirby,29
*03ae8*,Dansby Swanson,CHC,SS,reed,30
*04efa*,Daulton Varsho,TOR,OF,LIAM,27
*04aqc*,David Bednar,PIT,RP,reed,29
*05yav*,David Festa,MIN,SP,Bird,24
*04psr*,David Fry,CLE,"C,OF",Bird,28
*04o2x*,Davis Schneider,TOR,"2B,OF",Bird,25
*041yb*,Dean Kremer,BAL,SP,Geezers,28
*0311c*,Devin Williams,MIL,RP,BEIM,29
*05nsq*,Deyvison De Los Santos,ARI,3B,JGC,20
*01sfi*,DJ LeMahieu,NYY,"1B,3B",owenhern,35
*04aeh*,DL Hall,MIL,"SP,RP",reed,25
*05xu0*,Drew Gilbert,NYM,OF,Bird,23
*04eee*,Drew Rasmussen,TB,SP,Kirby,28
*05yb1*,Drew Thorpe,CHW,SP,LIAM,23
*05tdk*,Druw Jones,ARI,OF,Tino,20
*041r5*,Dustin May,LAD,SP,Tino,26
*05xty*,Dylan Beavers,BAL,OF,DT,22
*03df2*,Dylan Cease,SD,SP,Tino,28
*0596e*,Dylan Crews,WSH,OF,Kirby,21
*05tdl*,Dylan Lesko,SD,SP,PAP,20
*03qml*,Dylan Moore,SEA,"2B,SS,OF",DT,31
*05un2*,Edgar Quero,CHW,C,owenhern,21
*051dl*,Edouard Julien,MIN,2B,Kirby,25
*029si*,Eduardo Rodriguez,ARI,SP,Geezers,31
*04ali*,Edward Cabrera,MIA,SP,reed,26
*02my5*,Edwin Diaz,NYM,RP,Bird,30
*03fhx*,Elias Diaz,COL,C,BEIM,33
*05udp*,Elly De La Cruz,CIN,"3B,SS",Bird,22
*030ud*,Eloy Jimenez,CHW,UT,JGC,27
*0510l*,Emerson Hancock,SEA,SP,Tino,25
*04ug5*,Emmanuel Clase,CLE,RP,PAP,26
*054p6*,Emmanuel Rodriguez,MIN,OF,Bird,21
*05y2l*,Emmet Sheehan,LAD,SP,DT,24
*0529l*,Endy Rodriguez,PIT,C,Kirby,24
*03d6n*,Erick Fedde,CHW,SP,JGC,31
*05ybr*,Ethan Salas,SD,C,Geezers,18
*05aoc*,Eury Perez,MIA,SP,Bird,21
*05mdt*,Evan Carter,TEX,OF,Kirby,21
*03qto*,Evan Phillips,LAD,RP,DT,29
*04mra*,Ezequiel Tovar,COL,SS,Geezers,22
*05t64*,Felix Bautista,BAL,RP,Bird,28
*05mx9*,Felnin Celesten,SEA,SS,Geezers,18
*03zbh*,Fernando Tatis Jr.,SD,OF,JGC,25
*04auj*,Framber Valdez,HOU,SP,PAP,30
*04qnc*,Francisco Alvarez,NYM,C,Bird,22
*02611*,Francisco Lindor,NYM,SS,PAP,30
*02yg3*,Frankie Montas,CIN,"SP,RP",Kirby,31
*01cgo*,Freddie Freeman,LAD,1B,JGC,34
*03dc4*,Freddy Peralta,MIL,SP,reed,28
*05rcs*,Gabriel Gonzalez,MIN,OF,BARTO,20
*04s1g*,Gabriel Moreno,ARI,C,BARTO,24
*05ajh*,Garrett Crochet,CHW,"SP,RP",Kirby,24
*04en7*,Garrett Mitchell,MIL,OF,DT,25
*04eqa*,Garrett Whitlock,BOS,"SP,RP",BARTO,27
*01t9q*,Gary Sanchez,MIL,C,Geezers,31
*041ai*,Gavin Lux,LAD,2B,owenhern,26
*04eej*,Gavin Sheets,CHW,"1B,OF",reed,28
*05mrx*,Gavin Stone,LAD,"SP,RP",DT,25
*05jp7*,Gavin Williams,CLE,SP,PAP,24
*04yie*,George Kirby,SEA,SP,Kirby,26
*067xm*,George Klassen,PHI,RP,reed,22
*025he*,George Springer,TOR,OF,PAP,34
*04pbq*,Geraldo Perdomo,ARI,"2B,SS",owenhern,24
*03amq*,German Marquez,COL,SP,Tino,29
*01spo*,Gerrit Cole,NYY,SP,Geezers,33
*01cdf*,Giancarlo Stanton,NYY,OF,owenhern,34
*031t0*,Gleyber Torres,NYY,2B,owenhern,27
*04pko*,Grayson Rodriguez,BAL,SP,PAP,24
*0317q*,Griffin Jax,MIN,RP,PAP,29
*050w9*,Gunnar Henderson,BAL,"3B,SS",Tino,22
*05raw*,Harry Ford,SEA,C,Tino,21
*05ajg*,Ha-seong Kim,SD,"2B,3B,SS",LIAM,28
*03h90*,Hector Neris,CHC,RP,JGC,34
*05oxc*,Henry Davis,PIT,"C,OF",DT,24
*0596f*,Heston Kjerstad,BAL,UT,owenhern,25
*05144*,Hunter Brown,HOU,SP,LIAM,25
*04aea*,Hunter Greene,CIN,SP,Tino,24
*0310c*,Hunter Harvey,WSH,RP,LIAM,29
*0603p*,Hurston Waldrep,ATL,SP,Kirby,22
*06f8f*,Hyun-Seok Jang,LAD,SP,DT,20
*03nmw*,Ian Happ,CHC,OF,BEIM,29
*04071*,Isaac Paredes,TB,"1B,3B",Kirby,25
*04hyc*,Ivan Herrera,STL,C,Bird,24
*02334*,J.D. Martinez,NYM,UT,BARTO,36
*025i9*,J.T. Realmuto,PHI,C,Geezers,33
*05tzg*,Jace Jung,DET,2B,JGC,23
*03d6w*,Jack Flaherty,DET,SP,Kirby,28
*04y9o*,Jack Leiter,TEX,SP,Tino,24
*05m1e*,Jackson Chourio,MIL,OF,Bird,20
*05ybv*,Jackson Holliday,BAL,"2B,SS",BARTO,20
*05rb0*,Jackson Jobe,DET,"SP,RP",Kirby,21
*05ua7*,Jackson Merrill,SD,"SS,OF",PAP,21
*02hjp*,Jacob deGrom,TEX,SP,Bird,35
*05r9h*,Jacob Hurtubise,CIN,OF,BEIM,26
*061yu*,Jacob Misiorowski,MIL,SP,BARTO,22
*0622t*,Jacob Wilson,OAK,SS,reed,22
*060q2*,Jairo Iriarte,CHW,SP,Bird,22
*05yix*,Jaison Chourio,CLE,OF,Geezers,19
*04azv*,Jake Burger,MIA,"1B,3B",BARTO,28
*03qmh*,Jake Cronenworth,SD,"1B,2B",Geezers,30
*03qyv*,Jake McCarthy,ARI,OF,owenhern,26
