,ID,Player Name,Team,Position,Status,Age,RANK
0,*041qr*,Aaron Civale,TB,SP,Bird,28,297
1,*02z0s*,Aaron Judge,NYY,OF,owenhern,32,8
2,*02i3o*,Aaron Nola,PHI,SP,Kirby,31,74
3,*05uv5*,Abimelec Ortiz,TEX,1B,BEIM,22,500
4,*041se*,Abraham Toro,OAK,"2B,3B",Tino,27,500
5,*04ysv*,Adael Amador,COL,SS,BEIM,21,355
6,*060gg*,Adam Mazur,SD,SP,Bird,23,220
7,*04q2n*,Adley Rutschman,BAL,C,BARTO,26,71
8,*04aq4*,Adolis Garcia,TEX,OF,PAP,31,34
9,*04z6m*,Agustin Ramirez,NYY,C,LIAM,22,500
10,*05u36*,Aidan Miller,PHI,3B,JGC,19,321
11,*05uy5*,AJ Smith-Shawver,ATL,SP,owenhern,21,336
12,*02xid*,Albert Suarez,BAL,"SP,RP",Bird,34,265
13,*04mn5*,Alec Bohm,PHI,"1B,3B",owenhern,27,146
14,*05jr0*,Alec Burleson,STL,OF,Kirby,25,372
15,*0512c*,Alec Marsh,KC,"SP,RP",BEIM,26,375
16,*04yfw*,Alek Manoah,TOR,SP,owenhern,26,298
17,*02w7p*,Alex Bregman,HOU,3B,BEIM,30,182
18,*01seh*,Alex Cobb,SF,SP,JGC,36,500
19,*03d7g*,Alex Verdugo,NYY,OF,BARTO,28,500
20,*03qqf*,Alexis Diaz,CIN,RP,LIAM,27,403
21,*02yh5*,Amed Rosario,TB,"2B,SS,OF",Tino,28,500
22,*03pzn*,Andres Gimenez,CLE,2B,DT,25,198
23,*0403o*,Andres Munoz,SEA,RP,Tino,25,131
24,*05jq2*,Andrew Abbott,CIN,SP,PAP,25,207
25,*066lz*,Andrew Cossetti,MIN,C,BEIM,24,500
26,*01c1g*,Andrew McCutchen,PIT,UT,Geezers,37,500
27,*05r3i*,Andrew Painter,PHI,SP,BARTO,21,199
28,*04si2*,Andrew Vaughn,CHW,1B,owenhern,26,500
29,*04ru5*,Andy Pages,LAD,OF,DT,23,234
30,*01sea*,Anthony Rizzo,NYY,1B,BEIM,34,500
31,*02w16*,Anthony Santander,BAL,OF,BEIM,29,410
32,*04y9p*,Anthony Volpe,NYY,SS,BEIM,23,15
33,*03pom*,Austin Riley,ATL,3B,DT,27,30
34,*05ahg*,Austin Wells,NYY,C,Kirby,24,500
35,*0425t*,Bailey Ober,MIN,SP,DT,28,149
36,*04o2w*,Ben Brown,CHC,"SP,RP",JGC,24,323
37,*05yo5*,Ben Rice,NYY,C,Kirby,25,500
38,*05u2q*,Blade Tidwell,NYM,SP,BARTO,22,325
39,*02bqr*,Blake Snell,SF,SP,JGC,31,117
40,*041qb*,Bo Bichette,TOR,SS,BEIM,26,90
41,*04mrn*,Bo Naylor,CLE,C,DT,24,272
42,*05gwz*,Bobby Miller,LAD,SP,Tino,25,101
43,*04lgp*,Bobby Witt Jr.,KC,SS,Tino,23,2
44,*059bx*,Brady House,WSH,SS,JGC,21,238
45,*03pov*,Brady Singer,KC,SP,BARTO,27,286
46,*041q8*,Brandon Marsh,PHI,OF,Tino,26,168
47,*02bq2*,Brandon Nimmo,NYM,OF,Bird,31,279
48,*05lg3*,Brandon Pfaadt,ARI,SP,Kirby,25,150
49,*0515o*,Brandon Sproat,NYM,"SP,RP",Bird,23,500
50,*02bu3*,Brandon Woodruff,MIL,SP,reed,31,219
51,*04t40*,Brayan Bello,BOS,SP,LIAM,25,203
52,*04pmv*,Brennen Davis,CHC,OF,reed,24,500
53,*04e2u*,Brent Rooker,OAK,OF,JGC,29,282
54,*0513l*,Brenton Doyle,COL,OF,JGC,26,212
55,*04yib*,Brett Baty,NYM,3B,BARTO,24,500
56,*04b00*,Brice Turang,MIL,"2B,SS",PAP,24,144
57,*05ubi*,Brock Wilken,MIL,3B,Geezers,21,391
